Time, Projected Occupancy,  num_parked_ios, num_parked_android, num_parked
02/13 08:21 AM,31 %,4,0,4
02/13 08:21 AM,23 %,3,0,3
02/13 08:23 AM,31 %,4,0,4
02/13 08:34 AM,38 %,5,0,5
02/13 09:01 AM,46 %,6,0,6
02/13 09:31 AM,31 %,4,0,4
02/13 10:26 AM,38 %,5,0,5
02/13 10:28 AM,43 %,6,0,6
02/13 11:26 AM,36 %,5,0,5
02/13 11:30 AM,29 %,4,0,4
02/13 11:40 AM,21 %,3,0,3
02/13 12:05 PM,29 %,4,0,4
02/13 01:14 PM,36 %,5,0,5
02/13 01:17 PM,29 %,4,0,4
02/13 01:52 PM,43 %,6,0,6
02/13 03:50 PM,36 %,5,0,5
02/13 03:54 PM,43 %,6,0,6
02/13 05:11 PM,36 %,5,0,5
02/13 05:46 PM,29 %,4,0,4
02/13 06:12 PM,36 %,5,0,5
02/13 06:16 PM,29 %,4,0,4
02/13 06:28 PM,21 %,3,0,3
02/13 07:39 PM,14 %,2,0,2
02/13 07:45 PM,7 %,1,0,1
02/13 08:27 PM,14 %,2,0,2
02/13 10:37 PM,7 %,1,0,1
02/13 11:33 PM,0 %,0,0,0
02/14 07:00 AM,7 %,1,0,1
02/14 07:06 AM,7 %,1,0,1
02/14 07:07 AM,0 %,0,0,0
02/14 07:14 AM,7 %,1,0,1
02/14 07:17 AM,14 %,2,0,2
02/14 07:19 AM,21 %,3,0,3
02/14 07:28 AM,29 %,4,0,4
02/14 07:59 AM,38 %,5,0,5
02/14 08:28 AM,38 %,5,0,5
02/14 08:34 AM,46 %,6,0,6
02/14 08:38 AM,54 %,7,0,7
02/14 08:39 AM,62 %,8,0,8
02/14 08:41 AM,54 %,7,0,7
02/14 11:31 AM,62 %,8,0,8
02/14 11:45 AM,69 %,9,0,9
02/14 11:59 AM,62 %,8,0,8
02/14 11:59 AM,62 %,8,0,8
02/14 12:00 PM,69 %,9,0,9
02/14 12:03 PM,62 %,8,0,8
02/14 02:20 PM,69 %,9,0,9
02/14 02:29 PM,77 %,10,0,10
02/14 02:50 PM,69 %,9,0,9
02/14 02:58 PM,77 %,10,0,10
02/14 03:01 PM,62 %,8,0,8
02/14 03:03 PM,54 %,7,0,7
02/14 03:24 PM,46 %,6,0,6
02/14 03:34 PM,38 %,5,0,5
02/14 03:39 PM,31 %,4,0,4
02/14 04:05 PM,15 %,2,0,2
02/14 04:24 PM,15 %,2,0,2
02/14 04:35 PM,23 %,3,0,3
02/14 05:33 PM,8 %,1,0,1
02/14 05:38 PM,15 %,2,0,2
02/14 07:14 PM,8 %,1,0,1
02/14 07:41 PM,15 %,2,0,2
02/14 07:43 PM,7 %,1,0,1
02/15 06:51 AM,14 %,2,0,2
02/15 07:08 AM,21 %,3,0,3
02/15 07:20 AM,29 %,4,0,4
02/15 07:33 AM,29 %,4,0,4
02/15 07:34 AM,36 %,5,0,5
02/15 07:39 AM,29 %,4,0,4
02/15 08:19 AM,36 %,5,0,5
02/15 08:24 AM,43 %,6,0,6
02/15 08:28 AM,29 %,4,0,4
02/15 08:45 AM,36 %,5,0,5
02/15 08:53 AM,43 %,6,0,6
02/15 09:31 AM,29 %,4,0,4
02/15 09:54 AM,33 %,5,0,5
02/15 10:02 AM,27 %,4,0,4
02/15 10:37 AM,33 %,5,0,5
02/15 10:45 AM,40 %,6,0,6
02/15 11:30 AM,33 %,5,0,5
02/15 12:02 PM,40 %,6,0,6
02/15 12:37 PM,33 %,5,0,5
02/15 12:44 PM,27 %,4,0,4
02/15 01:07 PM,33 %,5,0,5
02/15 01:34 PM,40 %,6,0,6
02/15 02:00 PM,47 %,7,0,7
02/15 02:03 PM,47 %,7,0,7
02/15 02:26 PM,33 %,5,0,5
02/15 02:27 PM,27 %,4,0,4
02/15 02:57 PM,33 %,5,0,5
02/15 02:58 PM,27 %,4,0,4
02/15 03:45 PM,33 %,5,0,5
02/15 03:48 PM,27 %,4,0,4
02/15 03:55 PM,33 %,5,0,5
02/15 04:12 PM,27 %,4,0,4
02/15 04:12 PM,20 %,3,0,3
02/15 04:19 PM,20 %,3,0,3
02/15 04:48 PM,27 %,4,0,4
02/15 04:57 PM,13 %,2,0,2
02/15 05:54 PM,20 %,3,0,3
02/15 06:49 PM,13 %,2,0,2
02/15 07:49 PM,7 %,1,0,1
02/16 07:11 AM,13 %,2,0,2
02/16 07:12 AM,20 %,3,0,3
02/16 07:19 AM,27 %,4,0,4
02/16 07:19 AM,27 %,4,0,4
02/16 07:38 AM,40 %,6,0,6
02/16 08:50 AM,33 %,5,0,5
02/16 09:59 AM,27 %,4,0,4
02/16 10:27 AM,33 %,5,0,5
02/16 10:53 AM,33 %,5,0,5
02/16 11:01 AM,40 %,6,0,6
02/16 11:02 AM,33 %,5,0,5
02/16 11:28 AM,47 %,7,0,7
02/16 12:42 PM,40 %,6,0,6
02/16 01:19 PM,47 %,7,0,7
02/16 01:22 PM,40 %,6,0,6
02/16 01:29 PM,33 %,5,0,5
02/16 02:19 PM,40 %,6,0,6
02/16 02:31 PM,47 %,7,0,7
02/16 03:01 PM,40 %,6,0,6
02/16 03:08 PM,33 %,5,0,5
02/16 04:12 PM,33 %,5,0,5
02/16 04:20 PM,27 %,4,0,4
02/16 05:07 PM,20 %,3,0,3
02/16 05:21 PM,27 %,4,0,4
02/16 05:52 PM,20 %,3,0,3
02/16 06:28 PM,13 %,2,0,2
02/16 06:58 PM,7 %,1,0,1
02/17 06:52 AM,7 %,1,0,1
02/17 08:09 AM,13 %,2,0,2
02/17 08:17 AM,20 %,3,0,3
02/17 08:49 AM,27 %,4,0,4
02/17 08:51 AM,33 %,5,0,5
02/17 09:49 AM,33 %,5,0,5
02/17 10:24 AM,40 %,6,0,6
02/17 10:45 AM,47 %,7,0,7
02/17 11:22 AM,40 %,6,0,6
02/17 11:35 AM,33 %,5,0,5
02/17 11:40 AM,27 %,4,0,4
02/17 11:45 AM,33 %,5,0,5
02/17 11:49 AM,40 %,6,0,6
02/17 12:35 PM,33 %,5,0,5
02/17 12:41 PM,27 %,4,0,4
02/17 12:52 PM,33 %,5,0,5
02/17 12:53 PM,27 %,4,0,4
02/17 01:19 PM,33 %,5,0,5
02/17 01:24 PM,40 %,6,0,6
02/17 01:34 PM,47 %,7,0,7
02/17 01:35 PM,40 %,6,0,6
02/17 02:14 PM,47 %,7,0,7
02/17 02:18 PM,40 %,6,0,6
02/17 02:28 PM,33 %,5,0,5
02/17 02:35 PM,27 %,4,0,4
02/17 03:03 PM,20 %,3,0,3
02/17 03:51 PM,13 %,2,0,2
